,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
0,6.6,35,1,0,1,0,254,2
1,6.6,36,0,1,0,1,253,2
2,8.5,70,1,1,1,1,246,0
3,9.5,34,1,1,0,1,255,0
4,6.6,37,0,0,0,0,255,1
5,6.6,37,1,1,1,1,255,2
6,5.5,45,1,0,1,1,250,0
7,4.5,60,0,1,1,1,250,0
8,8.1,66,1,0,1,1,255,0
9,6.7,45,1,1,0,0,247,1
10,6.7,45,1,1,1,0,245,1
11,5.6,50,0,1,1,1,255,0
12,8.6,55,0,1,1,1,255,0
13,7.4,90,1,0,1,1,255,0
14,6.8,45,0,1,1,1,255,2
15,6.5,38,1,0,0,0,255,1
16,4.7,38,1,0,1,0,255,0
17,3.0,40,1,1,1,1,255,0
18,9.0,43,1,0,1,1,250,0
19,6.8,40,1,0,1,0,245,1
20,6.6,45,0,1,1,1,250,2
21,6.5,36,0,0,1,0,255,1
22,4.5,38,0,1,1,1,255,0
23,6.6,45,1,1,1,1,245,2
24,6.8,35,1,0,1,0,246,1
25,6.5,36,0,1,1,0,253,2
26,8.5,70,0,0,0,0,246,0
27,6.6,34,0,0,0,1,240,1
28,6.5,37,0,0,0,0,245,1
29,6.6,37,1,0,1,0,255,2
30,6.4,45,0,1,0,0,240,1
31,6.5,40,0,1,0,1,250,0
32,6.8,42,1,1,1,1,255,2
33,6.7,41,1,0,0,0,247,1
34,6.7,50,1,1,1,0,245,0
36,8.6,55,0,1,0,0,255,0
37,7.4,65,0,0,0,0,255,0
38,6.8,41,0,0,0,0,255,1
39,6.5,38,1,1,1,1,255,2
40,6.8,38,0,0,0,0,255,1
41,3.0,40,1,0,0,0,255,0
42,9.0,43,1,1,1,1,248,0
43,6.8,40,1,1,1,1,255,2
44,6.6,45,0,0,0,1,250,1
45,6.5,36,0,0,0,0,247,1
46,6.6,38,0,0,0,0,255,1
47,6.8,45,1,1,1,0,245,2
49,6.5,37,0,0,0,0,255,1
59,6.8,45,0,0,1,0,255,1
60,6.5,38,1,0,1,0,255,1
61,6.7,38,1,0,1,0,255,2
65,6.8,45,0,0,0,1,255,1
75,6.8,45,1,1,1,1,245,2
76,6.5,35,1,0,1,0,246,1
77,6.8,36,0,1,1,0,253,2
79,6.8,34,0,0,0,1,240,1
82,6.8,45,0,1,0,0,240,1
84,6.8,41,0,0,1,0,255,1
90,6.6,50,0,0,0,1,250,0
92,6.6,50,0,0,0,0,255,0
105,6.6,35,0,1,1,1,255,2
107,6.8,50,0,0,1,0,255,0
111,6.6,43,1,0,1,1,250,2
116,6.6,38,1,0,1,0,255,2
122,6.6,38,0,0,1,0,255,1
124,6.5,55,1,0,1,0,246,0
531,6.6,45,0,1,0,0,255,1
547,6.5,40,1,0,0,0,250,1
552,6.8,43,1,0,1,0,250,2
554,6.8,55,0,0,0,1,255,0
565,6.5,50,1,0,1,0,246,0
576,6.6,40,1,0,1,1,255,2
821,6.6,40,0,0,0,0,255,1
847,6.5,37,0,1,1,1,245,0
861,6.6,40,1,0,0,0,255,1
883,6.6,40,1,1,1,1,255,2
899,6.6,43,0,0,1,0,250,1
911,6.5,40,0,0,1,0,250,1
930,6.6,38,0,1,1,1,255,2
942,6.6,45,1,0,0,1,255,1
957,6.8,41,1,1,1,0,255,2
985,6.5,45,1,0,0,0,246,1
998,6.6,43,0,0,0,1,250,1
